file_name,processed_date,status,reporting_date,current_name,is_corrupt
295023_Bilanci_i_Gjendjes_-_Tremujori_i_dyte_2012.pdf,2026-03-21 21:45:58,1,31.03.2012,be_bs_31.03.2012.pdf|be_is_31.03.2012.pdf,0
421672_Bilanci_i_Gjendjes_-_Tremujori_i_pare_2012.pdf,2026-03-21 21:45:58,1,21.03.2026,be_bs_21.03.2026.pdf|be_is_21.03.2026.pdf,0
976652_Bilanci_i_tre_mujorit_te_katert_te_2011.pdf,2026-03-21 21:45:59,1,21.03.2026,be_bs_21.03.2026.pdf|be_is_21.03.2026.pdf,0
812759_Bilanci_i_tremujorit_te_dyte_te_2011.pdf,2026-03-21 21:45:59,1,21.03.2026,be_bs_21.03.2026.pdf|be_is_21.03.2026.pdf,0
367856_Bilanci_i_tremujorit_te_trete_te_2011.pdf,2026-03-21 21:45:59,1,21.03.2026,be_bs_21.03.2026.pdf|be_is_21.03.2026.pdf,0
58698_Bilanci_tremujorit_te_pare_2011.pdf,2026-03-21 21:45:59,1,21.03.2026,be_bs_21.03.2026.pdf|be_is_21.03.2026.pdf,0
163606_Bilanci_i_tremujorit_te_katert_te_2010.pdf,2026-03-21 21:45:59,1,21.03.2026,be_bs_21.03.2026.pdf|be_is_21.03.2026.pdf,0
909362_Bilanci_i_tremujorit_te_trete_2010.pdf,2026-03-21 21:46:00,1,21.03.2026,be_bs_21.03.2026.pdf|be_is_21.03.2026.pdf,0
249830_Bilanci_i_tremujorit_te_dyte_2010.pdf,2026-03-21 21:46:00,1,21.03.2026,be_bs_21.03.2026.pdf|be_is_21.03.2026.pdf,0
854217_Bilanci_i_tremujorit_te_katert_te_2009.pdf,2026-03-21 21:46:00,1,21.03.2026,be_bs_21.03.2026.pdf|be_is_21.03.2026.pdf,0
165565_Bilanci_i_tremujorit_te_trete_te_2009.pdf,2026-03-21 21:46:01,1,21.03.2026,be_bs_21.03.2026.pdf|be_is_21.03.2026.pdf,0
