,BANK_ID,REPORT_DATE,DT_REPORT,STATEMENT_TYPE,CATEGORY_TYPE,CATEGORY_CODE,ORIGINAL_CATEGORY,PREVIOUS_VALUE,CURRENT_VALUE,CURR_ID,FILE_NAME,DATA_SOURCE,EXTRACTION_DATE
1362,9,2023-09-30,2023-09-30,BALANCE_SHEET,BALANCE,42,Fitimi/(humbja) e vitit aktual,575,682,1,zba_bs_31.12.2023.pdf,Ziraat Bank,2026-03-18
1363,9,2023-09-30,2023-09-30,BALANCE_SHEET,BALANCE,43,Përbërësit tjerë të ekuitetit,0,0,1,zba_bs_31.12.2023.pdf,Ziraat Bank,2026-03-18
1364,9,2023-09-30,2023-09-30,BALANCE_SHEET,BALANCE,44,Gjithsej ekuiteti i aksionarëve,20795,20902,1,zba_bs_31.12.2023.pdf,Ziraat Bank,2026-03-18
1365,9,2023-09-30,2023-09-30,BALANCE_SHEET,BALANCE,45,aksionarëve,115967,124049,1,zba_bs_31.12.2023.pdf,Ziraat Bank,2026-03-18
392,9,2023-09-30,2023-09-30,INCOME_STATEMENT,INCOME,1,Të hyrat nga interesi,3381,5088,1,zba_is_31.12.2023.pdf,Ziraat Bank,2026-03-18
401,9,2023-09-30,2023-09-30,INCOME_STATEMENT,INCOME,10,Gjithsej të hyrat,1174,1701,1,zba_is_31.12.2023.pdf,Ziraat Bank,2026-03-18
402,9,2023-09-30,2023-09-30,INCOME_STATEMENT,INCOME,12,Provizionet për humbjet nga kreditë,574,937,1,zba_is_31.12.2023.pdf,Ziraat Bank,2026-03-18
403,9,2023-09-30,2023-09-30,INCOME_STATEMENT,INCOME,13,Provizionet tjera,55,37,1,zba_is_31.12.2023.pdf,Ziraat Bank,2026-03-18
404,9,2023-09-30,2023-09-30,INCOME_STATEMENT,INCOME,14,Fitimi/(humbja) para tatimit,654,801,1,zba_is_31.12.2023.pdf,Ziraat Bank,2026-03-18
405,9,2023-09-30,2023-09-30,INCOME_STATEMENT,INCOME,15,Shpenzimet e tatimit në fitim,79,119,1,zba_is_31.12.2023.pdf,Ziraat Bank,2026-03-18
406,9,2023-09-30,2023-09-30,INCOME_STATEMENT,INCOME,15,Shpenzimet e tatimit të shtyer,0,0,1,zba_is_31.12.2023.pdf,Ziraat Bank,2026-03-18
407,9,2023-09-30,2023-09-30,INCOME_STATEMENT,INCOME,16,Fitimi/(humbja) neto,575,682,1,zba_is_31.12.2023.pdf,Ziraat Bank,2026-03-18
408,9,2023-09-30,2023-09-30,INCOME_STATEMENT,INCOME,17,Të ardhurat tjera gjithëpërfshirëse,0,0,1,zba_is_31.12.2023.pdf,Ziraat Bank,2026-03-18
409,9,2023-09-30,2023-09-30,INCOME_STATEMENT,INCOME,19,Gjithsej të ardhurat gjithëpërfshirëse,575,682,1,zba_is_31.12.2023.pdf,Ziraat Bank,2026-03-18
393,9,2023-09-30,2023-09-30,INCOME_STATEMENT,INCOME,2,Shpenzimet e interesit,1039,1611,1,zba_is_31.12.2023.pdf,Ziraat Bank,2026-03-18
394,9,2023-09-30,2023-09-30,INCOME_STATEMENT,INCOME,3,Neto të hyrat nga interesi,2343,3477,1,zba_is_31.12.2023.pdf,Ziraat Bank,2026-03-18
395,9,2023-09-30,2023-09-30,INCOME_STATEMENT,INCOME,4,Të hyrat nga tarifat dhe komisionet,105,155,1,zba_is_31.12.2023.pdf,Ziraat Bank,2026-03-18
396,9,2023-09-30,2023-09-30,INCOME_STATEMENT,INCOME,5,Shpenzimet e tarifave dhe komisioneve,108,160,1,zba_is_31.12.2023.pdf,Ziraat Bank,2026-03-18
397,9,2023-09-30,2023-09-30,INCOME_STATEMENT,INCOME,6,Neto të hyrat nga tarifat dhe komisionet,3,5,1,zba_is_31.12.2023.pdf,Ziraat Bank,2026-03-18
398,9,2023-09-30,2023-09-30,INCOME_STATEMENT,INCOME,7,Neto të hyrat nga tregtimi,3,7,1,zba_is_31.12.2023.pdf,Ziraat Bank,2026-03-18
399,9,2023-09-30,2023-09-30,INCOME_STATEMENT,INCOME,8,Neto të hyrat nga instrumentet tjera financiare,0,1,1,zba_is_31.12.2023.pdf,Ziraat Bank,2026-03-18
400,9,2023-09-30,2023-09-30,INCOME_STATEMENT,INCOME,9,Neto të hyrat (shpenzimet) tjera operative,1170,1779,1,zba_is_31.12.2023.pdf,Ziraat Bank,2026-03-18
1366,9,2023-12-31,2023-12-31,BALANCE_SHEET,BALANCE,20,Paraja e gatshme dhe gjendja me BQK-në,12535,21624,1,zba_bs_31.12.2023.pdf,Ziraat Bank,2026-03-18
1367,9,2023-12-31,2023-12-31,BALANCE_SHEET,BALANCE,21,Kërkesat ndaj bankave,7202,823,1,zba_bs_31.12.2023.pdf,Ziraat Bank,2026-03-18
