,BANK_ID,REPORT_DATE,DT_REPORT,STATEMENT_TYPE,CATEGORY_TYPE,CATEGORY_CODE,ORIGINAL_CATEGORY,PREVIOUS_VALUE,CURRENT_VALUE,CURR_ID,FILE_NAME,DATA_SOURCE,EXTRACTION_DATE
459,11,2021-06-30,2021-06-30,BALANCE_SHEET,BALANCE,23,Investimet në letra me vlerë/ Investment Securities/ Hartije od vrednosti,763.0,2798.0,1,cre_bs_30.06.2021.xlsx,Credins Bank,2026-03-18
460,11,2021-06-30,2021-06-30,BALANCE_SHEET,BALANCE,26,Kreditë dhe paradhëniet ndaj klientëve/ Loans and advances to customers/ Plasmani klijentima,722.0,3601.0,1,cre_bs_30.06.2021.xlsx,Credins Bank,2026-03-18
461,11,2021-06-30,2021-06-30,BALANCE_SHEET,BALANCE,27,Patundshmëritë dhe pajisjet/ Property and equipment/ Imovina I oprema,1998.0,1989.0,1,cre_bs_30.06.2021.xlsx,Credins Bank,2026-03-18
462,11,2021-06-30,2021-06-30,BALANCE_SHEET,BALANCE,28,Pasuritë e paprekshme/ Intangible assets/ Nematerijalna aktiva,0.0,40.0,1,cre_bs_30.06.2021.xlsx,Credins Bank,2026-03-18
463,11,2021-06-30,2021-06-30,BALANCE_SHEET,BALANCE,29,Pasuritë tatimore të shtyra/ Deferred tax assets/ Odložena poreska sredstva,0.0,0.0,1,cre_bs_30.06.2021.xlsx,Credins Bank,2026-03-18
464,11,2021-06-30,2021-06-30,BALANCE_SHEET,BALANCE,30,Pasuritë tjera/ Other assets/ Ostala aktiva,1816.0,1828.0,1,cre_bs_30.06.2021.xlsx,Credins Bank,2026-03-18
465,11,2021-06-30,2021-06-30,BALANCE_SHEET,BALANCE,31,Gjithsej pasuritë/ Total assets/ Ukupna aktiva,13436.0,17928.0,1,cre_bs_30.06.2021.xlsx,Credins Bank,2026-03-18
467,11,2021-06-30,2021-06-30,BALANCE_SHEET,BALANCE,32,Depozitat e klientëve/ Customer deposits/ Depoziti klijenata,2100.0,6946.0,1,cre_bs_30.06.2021.xlsx,Credins Bank,2026-03-18
468,11,2021-06-30,2021-06-30,BALANCE_SHEET,BALANCE,33,Detyrimet ndaj bankave/ Due to banks/ Obaveze prema banci,0.0,0.0,1,cre_bs_30.06.2021.xlsx,Credins Bank,2026-03-18
470,11,2021-06-30,2021-06-30,BALANCE_SHEET,BALANCE,35,Detyrimet tatimore të shtyra/ Deferred tax liabilities/ Odlozene poreske obaveze,0.0,0.0,1,cre_bs_30.06.2021.xlsx,Credins Bank,2026-03-18
471,11,2021-06-30,2021-06-30,BALANCE_SHEET,BALANCE,36,Detyrimet tjera/ Other liabilities/ Druge obaveze ,4036.0,1774.0,1,cre_bs_30.06.2021.xlsx,Credins Bank,2026-03-18
472,11,2021-06-30,2021-06-30,BALANCE_SHEET,BALANCE,37,Gjithsej detyrimet/ Total liabilities/ Ukupne obaveze ,6136.0,8720.0,1,cre_bs_30.06.2021.xlsx,Credins Bank,2026-03-18
474,11,2021-06-30,2021-06-30,BALANCE_SHEET,BALANCE,38,Kapitali aksionar/ Share capital/ Deoničarske akcize,8000.0,10130.0,1,cre_bs_30.06.2021.xlsx,Credins Bank,2026-03-18
475,11,2021-06-30,2021-06-30,BALANCE_SHEET,BALANCE,39,Primi I aksioneve/ Share premium/ Akcionarska premija,0.0,170.0,1,cre_bs_30.06.2021.xlsx,Credins Bank,2026-03-18
477,11,2021-06-30,2021-06-30,BALANCE_SHEET,BALANCE,41,Fitimi i mbajtur/(humbja) nga vitet paraprake/ Retained profit/loss from previous years/ Nerasporedena dobit/gubitak iz prethodnih godina,-311.0,-311.0,1,cre_bs_30.06.2021.xlsx,Credins Bank,2026-03-18
478,11,2021-06-30,2021-06-30,BALANCE_SHEET,BALANCE,42,Fitimi/(humbja) e vitit aktual/ current year profit/loss/ gubitak iz prethodnih godina,-392.0,-810.0,1,cre_bs_30.06.2021.xlsx,Credins Bank,2026-03-18
479,11,2021-06-30,2021-06-30,BALANCE_SHEET,BALANCE,43,Përbërësit tjerë të ekuitetit/ Other equity capital components/ Ostale komponente akcijskog kapitala ,3.0,29.0,1,cre_bs_30.06.2021.xlsx,Credins Bank,2026-03-18
480,11,2021-06-30,2021-06-30,BALANCE_SHEET,BALANCE,44,Gjithsej ekuiteti i aksionarëve/ Total shareholder's equity/ Ukupni kapital deoničara,7300.0,9208.0,1,cre_bs_30.06.2021.xlsx,Credins Bank,2026-03-18
481,11,2021-06-30,2021-06-30,BALANCE_SHEET,BALANCE,45,Gjithsej detyrimet dhe ekuiteti i aksionarëve/ Total liabilities and shareholder's equity/ Ukupne obaveze i kapital deoničara,13436.0,17928.0,1,cre_bs_30.06.2021.xlsx,Credins Bank,2026-03-18
131,11,2021-06-30,2021-06-30,INCOME_STATEMENT,INCOME,1,Të hyrat nga interesi/ interest income/ kamatni prihod,3.0,31.0,1,cre_is_30.06.2021.xlsx,Credins Bank,2026-03-18
140,11,2021-06-30,2021-06-30,INCOME_STATEMENT,INCOME,10,Gjithsej të hyrat/ Total income / Ukupna dobit,-380.0,-736.0,1,cre_is_30.06.2021.xlsx,Credins Bank,2026-03-18
141,11,2021-06-30,2021-06-30,INCOME_STATEMENT,INCOME,11,Provizionet për humbjet nga kreditë/ Impairment losses on loans/ Gubici na problematičnim kreditima,-12.0,-74.0,1,cre_is_30.06.2021.xlsx,Credins Bank,2026-03-18
142,11,2021-06-30,2021-06-30,INCOME_STATEMENT,INCOME,14,Fitimi/(humbja) para tatimit/ Profit/(loss) before taxation/Profit / (gubitak) pre oporezivanja,-392.0,-810.0,1,cre_is_30.06.2021.xlsx,Credins Bank,2026-03-18
143,11,2021-06-30,2021-06-30,INCOME_STATEMENT,INCOME,15,"Shpenzimet e tatimit në fitim/ Income tax expense/
Izdvajanja za porez na dohodak",0.0,0.0,1,cre_is_30.06.2021.xlsx,Credins Bank,2026-03-18
144,11,2021-06-30,2021-06-30,INCOME_STATEMENT,INCOME,16,Fitimi/(humbja) neto/ Net profit/(loss)/ Neto profit /(gubitak),-392.0,-810.0,1,cre_is_30.06.2021.xlsx,Credins Bank,2026-03-18
145,11,2021-06-30,2021-06-30,INCOME_STATEMENT,INCOME,17,Të ardhurat tjera gjithëpërfshirëse/ Other comprehensive income/ Drugi sveobuhvatni prihod,3.0,29.0,1,cre_is_30.06.2021.xlsx,Credins Bank,2026-03-18
146,11,2021-06-30,2021-06-30,INCOME_STATEMENT,INCOME,19,Gjithsej të ardhurat gjithëpërfshirëse/ Total comprehensive income/(loss)/ Ukupni sveobuhvatni prihod/(gubitak),-389.0,-781.0,1,cre_is_30.06.2021.xlsx,Credins Bank,2026-03-18
132,11,2021-06-30,2021-06-30,INCOME_STATEMENT,INCOME,2,Shpenzimet e interesit/ interest expense/ kamatni rashod,-35.0,-78.0,1,cre_is_30.06.2021.xlsx,Credins Bank,2026-03-18
133,11,2021-06-30,2021-06-30,INCOME_STATEMENT,INCOME,3,Neto të hyrat nga interesi/ net interest income/ neto kamatni prihod,-32.0,-47.0,1,cre_is_30.06.2021.xlsx,Credins Bank,2026-03-18
134,11,2021-06-30,2021-06-30,INCOME_STATEMENT,INCOME,4,Të hyrat nga tarifat dhe komisionet/ Fee and commission income/ Prihod od naknada i provizija,2.0,10.0,1,cre_is_30.06.2021.xlsx,Credins Bank,2026-03-18
135,11,2021-06-30,2021-06-30,INCOME_STATEMENT,INCOME,5,Shpenzimet e tarifave dhe komisioneve/ Fee and commission expense/ Rashod od naknada i provizija,-0.0,-8.0,1,cre_is_30.06.2021.xlsx,Credins Bank,2026-03-18
136,11,2021-06-30,2021-06-30,INCOME_STATEMENT,INCOME,6,Neto të hyrat nga tarifat dhe komisionet/ Net fee and commission income/ Neto dobitak na ime naknada i provizija,2.0,3.0,1,cre_is_30.06.2021.xlsx,Credins Bank,2026-03-18
137,11,2021-06-30,2021-06-30,INCOME_STATEMENT,INCOME,7,Neto të hyrat nga tregtimi/ Net trading profit/ Neto profit od trgovanja,0.0,1.0,1,cre_is_30.06.2021.xlsx,Credins Bank,2026-03-18
138,11,2021-06-30,2021-06-30,INCOME_STATEMENT,INCOME,8,Neto të hyrat nga instrumentet tjera financiare/ Net income from other financial instruments/ Neto prihod iz drugih finansijskih instrumenata,1.0,14.0,1,cre_is_30.06.2021.xlsx,Credins Bank,2026-03-18
139,11,2021-06-30,2021-06-30,INCOME_STATEMENT,INCOME,9,Neto të hyrat (shpenzimet) tjera operative/ Net other operating income (expense) / Drugi neto operativni prihod (rashod),-351.0,-707.0,1,cre_is_30.06.2021.xlsx,Credins Bank,2026-03-18
259,11,2021-09-30,2021-09-30,BALANCE_SHEET,BALANCE,20,Paraja e gatshme dhe gjendja me BQK-në/ Cash and balances with CBK/ Bilans gotovine sa CBK,3805.0,5952.0,1,cre_bs_30.09.2021.xlsx,Credins Bank,2026-03-18
260,11,2021-09-30,2021-09-30,BALANCE_SHEET,BALANCE,21,Kërkesat ndaj bankave/ Claims on banks/ Potraživanja bankama,3868.0,2036.0,1,cre_bs_30.09.2021.xlsx,Credins Bank,2026-03-18
262,11,2021-09-30,2021-09-30,BALANCE_SHEET,BALANCE,23,Investimet në letra me vlerë/ Investment Securities/ Hartije od vrednosti,2798.0,4893.0,1,cre_bs_30.09.2021.xlsx,Credins Bank,2026-03-18
263,11,2021-09-30,2021-09-30,BALANCE_SHEET,BALANCE,26,Kreditë dhe paradhëniet ndaj klientëve/ Loans and advances to customers/ Plasmani klijentima,3601.0,5878.0,1,cre_bs_30.09.2021.xlsx,Credins Bank,2026-03-18
264,11,2021-09-30,2021-09-30,BALANCE_SHEET,BALANCE,27,Patundshmëritë dhe pajisjet/ Property and equipment/ Imovina I oprema,1989.0,2177.0,1,cre_bs_30.09.2021.xlsx,Credins Bank,2026-03-18
265,11,2021-09-30,2021-09-30,BALANCE_SHEET,BALANCE,28,Pasuritë e paprekshme/ Intangible assets/ Nematerijalna aktiva,40.0,173.0,1,cre_bs_30.09.2021.xlsx,Credins Bank,2026-03-18
266,11,2021-09-30,2021-09-30,BALANCE_SHEET,BALANCE,29,Pasuritë tatimore të shtyra/ Deferred tax assets/ Odložena poreska sredstva,0.0,0.0,1,cre_bs_30.09.2021.xlsx,Credins Bank,2026-03-18
267,11,2021-09-30,2021-09-30,BALANCE_SHEET,BALANCE,30,Pasuritë tjera/ Other assets/ Ostala aktiva,1828.0,1944.0,1,cre_bs_30.09.2021.xlsx,Credins Bank,2026-03-18
268,11,2021-09-30,2021-09-30,BALANCE_SHEET,BALANCE,31,Gjithsej pasuritë/ Total assets/ Ukupna aktiva,17928.0,23053.0,1,cre_bs_30.09.2021.xlsx,Credins Bank,2026-03-18
270,11,2021-09-30,2021-09-30,BALANCE_SHEET,BALANCE,32,Depozitat e klientëve/ Customer deposits/ Depoziti klijenata,6946.0,11709.0,1,cre_bs_30.09.2021.xlsx,Credins Bank,2026-03-18
271,11,2021-09-30,2021-09-30,BALANCE_SHEET,BALANCE,33,Detyrimet ndaj bankave/ Due to banks/ Obaveze prema banci,0.0,0.0,1,cre_bs_30.09.2021.xlsx,Credins Bank,2026-03-18
273,11,2021-09-30,2021-09-30,BALANCE_SHEET,BALANCE,35,Detyrimet tatimore të shtyra/ Deferred tax liabilities/ Odlozene poreske obaveze,0.0,0.0,1,cre_bs_30.09.2021.xlsx,Credins Bank,2026-03-18
274,11,2021-09-30,2021-09-30,BALANCE_SHEET,BALANCE,36,Detyrimet tjera/ Other liabilities/ Druge obaveze ,1774.0,1909.0,1,cre_bs_30.09.2021.xlsx,Credins Bank,2026-03-18
275,11,2021-09-30,2021-09-30,BALANCE_SHEET,BALANCE,37,Gjithsej detyrimet/ Total liabilities/ Ukupne obaveze ,8720.0,13618.0,1,cre_bs_30.09.2021.xlsx,Credins Bank,2026-03-18
277,11,2021-09-30,2021-09-30,BALANCE_SHEET,BALANCE,38,Kapitali aksionar/ Share capital/ Deoničarske akcize,10130.0,10652.0,1,cre_bs_30.09.2021.xlsx,Credins Bank,2026-03-18
278,11,2021-09-30,2021-09-30,BALANCE_SHEET,BALANCE,39,Primi I aksioneve/ Share premium/ Akcionarska premija,170.0,223.0,1,cre_bs_30.09.2021.xlsx,Credins Bank,2026-03-18
280,11,2021-09-30,2021-09-30,BALANCE_SHEET,BALANCE,41,Fitimi i mbajtur/(humbja) nga vitet paraprake/ Retained profit/loss from previous years/ Nerasporedena dobit/gubitak iz prethodnih godina,-311.0,-311.0,1,cre_bs_30.09.2021.xlsx,Credins Bank,2026-03-18
281,11,2021-09-30,2021-09-30,BALANCE_SHEET,BALANCE,42,Fitimi/(humbja) e vitit aktual/ current year profit/loss/ gubitak iz prethodnih godina,-810.0,-1198.0,1,cre_bs_30.09.2021.xlsx,Credins Bank,2026-03-18
282,11,2021-09-30,2021-09-30,BALANCE_SHEET,BALANCE,43,Përbërësit tjerë të ekuitetit/ Other equity capital components/ Ostale komponente akcijskog kapitala ,29.0,70.0,1,cre_bs_30.09.2021.xlsx,Credins Bank,2026-03-18
283,11,2021-09-30,2021-09-30,BALANCE_SHEET,BALANCE,44,Gjithsej ekuiteti i aksionarëve/ Total shareholder's equity/ Ukupni kapital deoničara,9208.0,9435.0,1,cre_bs_30.09.2021.xlsx,Credins Bank,2026-03-18
284,11,2021-09-30,2021-09-30,BALANCE_SHEET,BALANCE,45,Gjithsej detyrimet dhe ekuiteti i aksionarëve/ Total liabilities and shareholder's equity/ Ukupne obaveze i kapital deoničara,17928.0,23053.0,1,cre_bs_30.09.2021.xlsx,Credins Bank,2026-03-18
1,11,2021-09-30,2021-09-30,INCOME_STATEMENT,INCOME,1,Të hyrat nga interesi/ interest income/ kamatni prihod,31.0,108.0,1,cre_is_30.09.2021.xlsx,Credins Bank,2026-03-18
10,11,2021-09-30,2021-09-30,INCOME_STATEMENT,INCOME,10,Gjithsej të hyrat/ Total income / Ukupna dobit,-736.0,-1050.0,1,cre_is_30.09.2021.xlsx,Credins Bank,2026-03-18
11,11,2021-09-30,2021-09-30,INCOME_STATEMENT,INCOME,11,Provizionet për humbjet nga kreditë/ Impairment losses on loans/ Gubici na problematičnim kreditima,-74.0,-148.0,1,cre_is_30.09.2021.xlsx,Credins Bank,2026-03-18
12,11,2021-09-30,2021-09-30,INCOME_STATEMENT,INCOME,14,Fitimi/(humbja) para tatimit/ Profit/(loss) before taxation/Profit / (gubitak) pre oporezivanja,-810.0,-1198.0,1,cre_is_30.09.2021.xlsx,Credins Bank,2026-03-18
13,11,2021-09-30,2021-09-30,INCOME_STATEMENT,INCOME,15,"Shpenzimet e tatimit në fitim/ Income tax expense/
Izdvajanja za porez na dohodak",0.0,0.0,1,cre_is_30.09.2021.xlsx,Credins Bank,2026-03-18
14,11,2021-09-30,2021-09-30,INCOME_STATEMENT,INCOME,16,Fitimi/(humbja) neto/ Net profit/(loss)/ Neto profit /(gubitak),-810.0,-1198.0,1,cre_is_30.09.2021.xlsx,Credins Bank,2026-03-18
15,11,2021-09-30,2021-09-30,INCOME_STATEMENT,INCOME,17,Të ardhurat tjera gjithëpërfshirëse/ Other comprehensive income/ Drugi sveobuhvatni prihod,29.0,70.0,1,cre_is_30.09.2021.xlsx,Credins Bank,2026-03-18
16,11,2021-09-30,2021-09-30,INCOME_STATEMENT,INCOME,19,Gjithsej të ardhurat gjithëpërfshirëse/ Total comprehensive income/(loss)/ Ukupni sveobuhvatni prihod/(gubitak),-781.0,-1128.0,1,cre_is_30.09.2021.xlsx,Credins Bank,2026-03-18
2,11,2021-09-30,2021-09-30,INCOME_STATEMENT,INCOME,2,Shpenzimet e interesit/ interest expense/ kamatni rashod,-78.0,-134.0,1,cre_is_30.09.2021.xlsx,Credins Bank,2026-03-18
3,11,2021-09-30,2021-09-30,INCOME_STATEMENT,INCOME,3,Neto të hyrat nga interesi/ net interest income/ neto kamatni prihod,-47.0,-26.0,1,cre_is_30.09.2021.xlsx,Credins Bank,2026-03-18
4,11,2021-09-30,2021-09-30,INCOME_STATEMENT,INCOME,4,Të hyrat nga tarifat dhe komisionet/ Fee and commission income/ Prihod od naknada i provizija,10.0,24.0,1,cre_is_30.09.2021.xlsx,Credins Bank,2026-03-18
5,11,2021-09-30,2021-09-30,INCOME_STATEMENT,INCOME,5,Shpenzimet e tarifave dhe komisioneve/ Fee and commission expense/ Rashod od naknada i provizija,-8.0,-19.0,1,cre_is_30.09.2021.xlsx,Credins Bank,2026-03-18
6,11,2021-09-30,2021-09-30,INCOME_STATEMENT,INCOME,6,Neto të hyrat nga tarifat dhe komisionet/ Net fee and commission income/ Neto dobitak na ime naknada i provizija,3.0,5.0,1,cre_is_30.09.2021.xlsx,Credins Bank,2026-03-18
7,11,2021-09-30,2021-09-30,INCOME_STATEMENT,INCOME,7,Neto të hyrat nga tregtimi/ Net trading profit/ Neto profit od trgovanja,1.0,2.0,1,cre_is_30.09.2021.xlsx,Credins Bank,2026-03-18
8,11,2021-09-30,2021-09-30,INCOME_STATEMENT,INCOME,8,Neto të hyrat nga instrumentet tjera financiare/ Net income from other financial instruments/ Neto prihod iz drugih finansijskih instrumenata,14.0,43.0,1,cre_is_30.09.2021.xlsx,Credins Bank,2026-03-18
9,11,2021-09-30,2021-09-30,INCOME_STATEMENT,INCOME,9,Neto të hyrat (shpenzimet) tjera operative/ Net other operating income (expense) / Drugi neto operativni prihod (rashod),-707.0,-1074.0,1,cre_is_30.09.2021.xlsx,Credins Bank,2026-03-18
