,ORIGINAL_CATEGORY,PREVIOUS_VALUE,CURRENT_VALUE,DT_REPORT,FILE_NAME,CATEGORY_CODE,STATEMENT_TYPE,BANK_ID,CURR_ID,CATEGORY_TYPE,DATA_SOURCE,EXTRACTION_DATE,REPORT_DATE
35,Impairment losses on financial assets,0.0,0.0,2024-06-30,Bilanci-dhe-Treguesit-financiar-TM2-2024.pdf,11,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2024-06-30
36,Fitimi/(humbja) para tatimit / Profit/(loss) before taxation,0.0,0.0,2024-06-30,Bilanci-dhe-Treguesit-financiar-TM2-2024.pdf,14,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2024-06-30
37,Fitimi/(humbja) neto / Net profit/(loss),0.0,0.0,2024-06-30,Bilanci-dhe-Treguesit-financiar-TM2-2024.pdf,16,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2024-06-30
38,Total comprehensive income/(loss),-149.0,-374.0,2024-06-30,Bilanci-dhe-Treguesit-financiar-TM2-2024.pdf,19,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2024-06-30
39,Të hyrat nga interesi / Interest income,5.0,347.0,2025-12-31,Bilanci-dhe-Treguesit-financiar-TM4-2025.pdf,1,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2025-12-31
40,Shpenzimet e interesit / Interest expense,0.0,0.0,2025-12-31,Bilanci-dhe-Treguesit-financiar-TM4-2025.pdf,2,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2025-12-31
41,Neto të hyrat nga interesi / Net interest income,3.0,522.0,2025-12-31,Bilanci-dhe-Treguesit-financiar-TM4-2025.pdf,3,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2025-12-31
42,Fee and commission income,3.0,73.0,2025-12-31,Bilanci-dhe-Treguesit-financiar-TM4-2025.pdf,4,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2025-12-31
43,Fee and commission expense,0.0,0.0,2025-12-31,Bilanci-dhe-Treguesit-financiar-TM4-2025.pdf,5,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2025-12-31
44,Net fee and commission income,2.0,67.0,2025-12-31,Bilanci-dhe-Treguesit-financiar-TM4-2025.pdf,6,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2025-12-31
