BANK_ID,REPORT_DATE,DT_REPORT,STATEMENT_TYPE,CATEGORY_TYPE,CATEGORY_CODE,ORIGINAL_CATEGORY,PREVIOUS_VALUE,CURRENT_VALUE,CURR_ID,FILE_NAME,DATA_SOURCE,EXTRACTION_DATE
9,2016-03-31,2016-03-31,INCOME_STATEMENT,INCOME,16,Fitimi/(humbja) neto,0,677,1,zba_is_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-03-31,2016-03-31,INCOME_STATEMENT,INCOME,2,Shpenzimet e interesit,0,4,1,zba_is_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-03-31,2016-03-31,INCOME_STATEMENT,INCOME,5,Shpenzimet e tarifave dhe komisioneve,0,5,1,zba_is_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-03-31,2016-03-31,INCOME_STATEMENT,INCOME,6,Neto të hyrat nga tarifat dhe komisionet,0,1,1,zba_is_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-03-31,2016-03-31,INCOME_STATEMENT,INCOME,9,Neto të hyrat (shpenzimet) tjera operative,0,691,1,zba_is_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-06-30,2016-06-30,BALANCE_SHEET,BALANCE,20,Paraja e gatshme dhe gjendja me BQK-në,4,4,1,zba_bs_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-06-30,2016-06-30,BALANCE_SHEET,BALANCE,21,Kërkesat ndaj bankave,617,559,1,zba_bs_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-06-30,2016-06-30,BALANCE_SHEET,BALANCE,23,Investimet në letra me vlerë,4,6,1,zba_bs_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-06-30,2016-06-30,BALANCE_SHEET,BALANCE,26,Kreditë dhe paradhëniet ndaj klientëve,2,6,1,zba_bs_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-06-30,2016-06-30,BALANCE_SHEET,BALANCE,27,Patundshmëritë dhe pajisjet,560,530,1,zba_bs_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-06-30,2016-06-30,BALANCE_SHEET,BALANCE,28,Pasuritë e paprekshme,708,697,1,zba_bs_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-06-30,2016-06-30,BALANCE_SHEET,BALANCE,30,Pasuritë tjera,1,3,1,zba_bs_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-06-30,2016-06-30,BALANCE_SHEET,BALANCE,31,Gjithsej pasuritë,12,17,1,zba_bs_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-06-30,2016-06-30,BALANCE_SHEET,BALANCE,32,Depozitat e klientëve,3,3,1,zba_bs_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-06-30,2016-06-30,BALANCE_SHEET,BALANCE,33,Detyrimet ndaj bankave,0,5,1,zba_bs_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-06-30,2016-06-30,BALANCE_SHEET,BALANCE,36,Detyrimet tjera,25,57,1,zba_bs_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-06-30,2016-06-30,BALANCE_SHEET,BALANCE,37,Gjithsej detyrimet,3,8,1,zba_bs_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-06-30,2016-06-30,BALANCE_SHEET,BALANCE,38,Kapitali aksionar,10,10,1,zba_bs_31.12.2016.pdf,Ziraat Bank,2026-03-21
