BALANCE_CATEGORY,PREVIOUS_BALANCE_VALUE,CURRENT_BALANCE_VALUE,DT_REPORT,FILE_NAME,CATEGORY_CODE,BANK_ID,STATEMENT_TYPE
Patundshmëritë dhe pajisjet,403,369,2017-09-30,zba_bs_31.12.2017.pdf,27,9,BALANCE_SHEET
Pasuritë e paprekshme,535,491,2017-09-30,zba_bs_31.12.2017.pdf,28,9,BALANCE_SHEET
Pasuritë tjera,84,84,2017-09-30,zba_bs_31.12.2017.pdf,30,9,BALANCE_SHEET
Gjithsej pasuritë,21659,22093,2017-09-30,zba_bs_31.12.2017.pdf,31,9,BALANCE_SHEET
Depozitat e klientëve,6452,3872,2017-09-30,zba_bs_31.12.2017.pdf,32,9,BALANCE_SHEET
Detyrimet ndaj bankave,6704,9808,2017-09-30,zba_bs_31.12.2017.pdf,33,9,BALANCE_SHEET
Detyrimet tjera,36,45,2017-09-30,zba_bs_31.12.2017.pdf,36,9,BALANCE_SHEET
Gjithsej detyrimet,13192,13724,2017-09-30,zba_bs_31.12.2017.pdf,37,9,BALANCE_SHEET
Kapitali aksionar,10000,10000,2017-09-30,zba_bs_31.12.2017.pdf,38,9,BALANCE_SHEET
Fitimi i mbajtur/(humbja) nga vitet paraprake,1318,1318,2017-09-30,zba_bs_31.12.2017.pdf,41,9,BALANCE_SHEET
Fitimi/(humbja) e vitit aktual,215,314,2017-09-30,zba_bs_31.12.2017.pdf,42,9,BALANCE_SHEET
Gjithsej ekuiteti i aksionarëve,8467,8368,2017-09-30,zba_bs_31.12.2017.pdf,44,9,BALANCE_SHEET
Gjithsej detyrimet dhe ekuiteti i aksionarëve,21659,22093,2017-09-30,zba_bs_31.12.2017.pdf,45,9,BALANCE_SHEET
Paraja e gatshme dhe gjendja me BQK-në,1476,1428,2017-12-31,zba_bs_31.12.2017.pdf,20,9,BALANCE_SHEET
Kërkesat ndaj bankave,524,1078,2017-12-31,zba_bs_31.12.2017.pdf,21,9,BALANCE_SHEET
Investimet në letra me vlerë,7015,6272,2017-12-31,zba_bs_31.12.2017.pdf,23,9,BALANCE_SHEET
Kreditë dhe paradhëniet ndaj klientëve,12133,14059,2017-12-31,zba_bs_31.12.2017.pdf,26,9,BALANCE_SHEET
Patundshmëritë dhe pajisjet,369,335,2017-12-31,zba_bs_31.12.2017.pdf,27,9,BALANCE_SHEET
Pasuritë e paprekshme,491,450,2017-12-31,zba_bs_31.12.2017.pdf,28,9,BALANCE_SHEET
Pasuritë tjera,84,540,2017-12-31,zba_bs_31.12.2017.pdf,30,9,BALANCE_SHEET
Gjithsej pasuritë,22093,24162,2017-12-31,zba_bs_31.12.2017.pdf,31,9,BALANCE_SHEET
Depozitat e klientëve,9808,10993,2017-12-31,zba_bs_31.12.2017.pdf,32,9,BALANCE_SHEET
Detyrimet ndaj bankave,3872,4873,2017-12-31,zba_bs_31.12.2017.pdf,33,9,BALANCE_SHEET
Detyrimet tjera,45,73,2017-12-31,zba_bs_31.12.2017.pdf,36,9,BALANCE_SHEET
Gjithsej detyrimet,13724,15939,2017-12-31,zba_bs_31.12.2017.pdf,37,9,BALANCE_SHEET
Kapitali aksionar,10000,10000,2017-12-31,zba_bs_31.12.2017.pdf,38,9,BALANCE_SHEET
Fitimi i mbajtur/(humbja) nga vitet paraprake,1318,1318,2017-12-31,zba_bs_31.12.2017.pdf,41,9,BALANCE_SHEET
Fitimi/(humbja) e vitit aktual,314,459,2017-12-31,zba_bs_31.12.2017.pdf,42,9,BALANCE_SHEET
Gjithsej ekuiteti i aksionarëve,8368,8223,2017-12-31,zba_bs_31.12.2017.pdf,44,9,BALANCE_SHEET
Gjithsej detyrimet dhe ekuiteti i aksionarëve,22093,24162,2017-12-31,zba_bs_31.12.2017.pdf,45,9,BALANCE_SHEET
Paraja e gatshme dhe gjendja me BQK-në,1428,1833,2018-03-31,zba_bs_31.12.2018.pdf,20,9,BALANCE_SHEET
Kërkesat ndaj bankave,1078,330,2018-03-31,zba_bs_31.12.2018.pdf,21,9,BALANCE_SHEET
Investimet në letra me vlerë,6730,6912,2018-03-31,zba_bs_31.12.2018.pdf,23,9,BALANCE_SHEET
Kreditë dhe paradhëniet ndaj klientëve,14059,14077,2018-03-31,zba_bs_31.12.2018.pdf,26,9,BALANCE_SHEET
Patundshmëritë dhe pajisjet,335,345,2018-03-31,zba_bs_31.12.2018.pdf,27,9,BALANCE_SHEET
Pasuritë e paprekshme,450,406,2018-03-31,zba_bs_31.12.2018.pdf,28,9,BALANCE_SHEET
Pasuritë tjera,131,133,2018-03-31,zba_bs_31.12.2018.pdf,30,9,BALANCE_SHEET
Gjithsej pasuritë,24211,24036,2018-03-31,zba_bs_31.12.2018.pdf,31,9,BALANCE_SHEET
Depozitat e klientëve,8486,8964,2018-03-31,zba_bs_31.12.2018.pdf,32,9,BALANCE_SHEET
Detyrimet ndaj bankave,7380,6808,2018-03-31,zba_bs_31.12.2018.pdf,33,9,BALANCE_SHEET
Detyrimet tjera,77,72,2018-03-31,zba_bs_31.12.2018.pdf,36,9,BALANCE_SHEET
Gjithsej detyrimet,15944,15845,2018-03-31,zba_bs_31.12.2018.pdf,37,9,BALANCE_SHEET
Kapitali aksionar,10000,10000,2018-03-31,zba_bs_31.12.2018.pdf,38,9,BALANCE_SHEET
Fitimi i mbajtur/(humbja) nga vitet paraprake,1318,1733,2018-03-31,zba_bs_31.12.2018.pdf,41,9,BALANCE_SHEET
Fitimi/(humbja) e vitit aktual,415,76,2018-03-31,zba_bs_31.12.2018.pdf,42,9,BALANCE_SHEET
Gjithsej ekuiteti i aksionarëve,8267,8192,2018-03-31,zba_bs_31.12.2018.pdf,44,9,BALANCE_SHEET
Gjithsej detyrimet dhe ekuiteti i aksionarëve,24211,24036,2018-03-31,zba_bs_31.12.2018.pdf,45,9,BALANCE_SHEET
Paraja e gatshme dhe gjendja me BQK-në,1833,1990,2018-06-30,zba_bs_31.12.2018.pdf,20,9,BALANCE_SHEET
Kërkesat ndaj bankave,330,1990,2018-06-30,zba_bs_31.12.2018.pdf,21,9,BALANCE_SHEET
Investimet në letra me vlerë,6912,6345,2018-06-30,zba_bs_31.12.2018.pdf,23,9,BALANCE_SHEET
