BALANCE_CATEGORY,PREVIOUS_BALANCE_VALUE,CURRENT_BALANCE_VALUE,DT_REPORT,FILE_NAME,CATEGORY_CODE,BANK_ID,STATEMENT_TYPE
Depozitat e klientëve,199938.0,203631.0,2017-06-30,be_bs_30.06.2017.pdf,32,3,BALANCE_SHEET
Detyrimet ndaj bankave,2027.0,2043.0,2017-06-30,be_bs_30.06.2017.pdf,33,3,BALANCE_SHEET
Fondet tjera të huazuara,1069.0,1013.0,2017-06-30,be_bs_30.06.2017.pdf,34,3,BALANCE_SHEET
Detyrimet tatimore të shtyra,0.0,0.0,2017-06-30,be_bs_30.06.2017.pdf,35,3,BALANCE_SHEET
Detyrimet tjera,625.0,432.0,2017-06-30,be_bs_30.06.2017.pdf,36,3,BALANCE_SHEET
Gjithsej detyrimet,203659.0,207118.0,2017-06-30,be_bs_30.06.2017.pdf,37,3,BALANCE_SHEET
Kapitali aksionar,16777.0,21337.0,2017-06-30,be_bs_30.06.2017.pdf,38,3,BALANCE_SHEET
Rezervat e kapitalit,102.0,102.0,2017-06-30,be_bs_30.06.2017.pdf,40,3,BALANCE_SHEET
Fitimi i mbajtur/(humbja) nga vitet paraprake,4560.0,0.0,2017-06-30,be_bs_30.06.2017.pdf,41,3,BALANCE_SHEET
Fitimi/(humbja) e vitit aktual,1193.0,2198.0,2017-06-30,be_bs_30.06.2017.pdf,42,3,BALANCE_SHEET
Përbërësit tjerë të ekuitetit,0.0,0.0,2017-06-30,be_bs_30.06.2017.pdf,43,3,BALANCE_SHEET
Gjithsej ekuiteti i aksionarëve,22631.0,23637.0,2017-06-30,be_bs_30.06.2017.pdf,44,3,BALANCE_SHEET
Gjithsej detyrimet dhe ekuiteti i aksionarëve,226291.0,230755.0,2017-06-30,be_bs_30.06.2017.pdf,45,3,BALANCE_SHEET
,0.0,0.0,2018-06-30,be_bs_30.06.2018.pdf,,3,BALANCE_SHEET
Paraja e gatshme dhe gjendja me BQK-në,47555.0,39147.0,2018-06-30,be_bs_30.06.2018.pdf,20,3,BALANCE_SHEET
Kërkesat ndaj bankave,13192.0,11646.0,2018-06-30,be_bs_30.06.2018.pdf,21,3,BALANCE_SHEET
Bonot e thesarit,7239.0,5262.0,2018-06-30,be_bs_30.06.2018.pdf,22,3,BALANCE_SHEET
Investimet në letra me vlerë,13440.0,19495.0,2018-06-30,be_bs_30.06.2018.pdf,23,3,BALANCE_SHEET
Kreditë dhe paradhëniet ndaj klientëve,160879.0,166762.0,2018-06-30,be_bs_30.06.2018.pdf,26,3,BALANCE_SHEET
Patundshmëritë dhe pajisjet,6257.0,6182.0,2018-06-30,be_bs_30.06.2018.pdf,27,3,BALANCE_SHEET
Pasuritë e paprekshme,505.0,496.0,2018-06-30,be_bs_30.06.2018.pdf,28,3,BALANCE_SHEET
Pasuritë tatimore të shtyra,0.0,0.0,2018-06-30,be_bs_30.06.2018.pdf,29,3,BALANCE_SHEET
Pasuritë tjera,664.0,616.0,2018-06-30,be_bs_30.06.2018.pdf,30,3,BALANCE_SHEET
Gjithsej pasuritë,249730.0,249607.0,2018-06-30,be_bs_30.06.2018.pdf,31,3,BALANCE_SHEET
Depozitat e klientëve,218726.0,219524.0,2018-06-30,be_bs_30.06.2018.pdf,32,3,BALANCE_SHEET
Detyrimet ndaj bankave,2056.0,2082.0,2018-06-30,be_bs_30.06.2018.pdf,33,3,BALANCE_SHEET
