file_name,file_path,bs_current_name,is_current_name,reporting_date,creation_date,download_date,is_corrupt
13401_Bilanci_i_Gjendjes_-_Tremujori_i_dyte_2013.pdf,be_financial_data\original\13401_Bilanci_i_Gjendjes_-_Tremujori_i_dyte_2013.pdf,be_bs_30.06.2013.pdf,be_is_30.06.2013.pdf,30.06.2013,2013-10-22 13:32:34,2026-03-21 21:45:53.153070,0
49214_Bilanci_i_Gjendjes-_Tremujori_i_pare_2013.pdf,be_financial_data\original\49214_Bilanci_i_Gjendjes-_Tremujori_i_pare_2013.pdf,be_bs_31.03.2013.pdf,be_is_31.03.2013.pdf,31.03.2013,2013-04-29 17:15:03,2026-03-21 21:45:53.999327,0
37546_Bilanci_i_Gjendjes_-_Tremujori_i_katert_2012.pdf,be_financial_data\original\37546_Bilanci_i_Gjendjes_-_Tremujori_i_katert_2012.pdf,be_bs_31.12.2012.pdf,be_is_31.12.2012.pdf,31.12.2012,2013-01-28 09:17:43,2026-03-21 21:45:54.961711,0
110253_Bilanci_i_Gjendjes_-_Tremujori_i_trete_2012.pdf,be_financial_data\original\110253_Bilanci_i_Gjendjes_-_Tremujori_i_trete_2012.pdf,be_bs_30.06.2012.pdf,be_is_30.06.2012.pdf,30.06.2012,2012-10-19 15:00:21,2026-03-21 21:45:55.753501,0
295023_Bilanci_i_Gjendjes_-_Tremujori_i_dyte_2012.pdf,be_financial_data\original\295023_Bilanci_i_Gjendjes_-_Tremujori_i_dyte_2012.pdf,be_bs_31.03.2012.pdf,be_is_31.03.2012.pdf,31.03.2012,2012-07-27 10:38:57,2026-03-21 21:45:58.202396,0
421672_Bilanci_i_Gjendjes_-_Tremujori_i_pare_2012.pdf,be_financial_data\original\421672_Bilanci_i_Gjendjes_-_Tremujori_i_pare_2012.pdf,be_bs_21.03.2026.pdf,be_is_21.03.2026.pdf,21.03.2026,2012-04-27 12:01:29,2026-03-21 21:45:58.646722,0
976652_Bilanci_i_tre_mujorit_te_katert_te_2011.pdf,be_financial_data\original\976652_Bilanci_i_tre_mujorit_te_katert_te_2011.pdf,be_bs_21.03.2026.pdf,be_is_21.03.2026.pdf,21.03.2026,2015-11-04 09:19:48,2026-03-21 21:45:58.999976,0
812759_Bilanci_i_tremujorit_te_dyte_te_2011.pdf,be_financial_data\original\812759_Bilanci_i_tremujorit_te_dyte_te_2011.pdf,be_bs_21.03.2026.pdf,be_is_21.03.2026.pdf,21.03.2026,2015-11-04 09:19:50,2026-03-21 21:45:59.183912,0
367856_Bilanci_i_tremujorit_te_trete_te_2011.pdf,be_financial_data\original\367856_Bilanci_i_tremujorit_te_trete_te_2011.pdf,be_bs_21.03.2026.pdf,be_is_21.03.2026.pdf,21.03.2026,2015-11-04 09:19:50,2026-03-21 21:45:59.395800,0
58698_Bilanci_tremujorit_te_pare_2011.pdf,be_financial_data\original\58698_Bilanci_tremujorit_te_pare_2011.pdf,be_bs_21.03.2026.pdf,be_is_21.03.2026.pdf,21.03.2026,2015-11-04 09:19:51,2026-03-21 21:45:59.650148,0
163606_Bilanci_i_tremujorit_te_katert_te_2010.pdf,be_financial_data\original\163606_Bilanci_i_tremujorit_te_katert_te_2010.pdf,be_bs_21.03.2026.pdf,be_is_21.03.2026.pdf,21.03.2026,2015-11-04 09:19:50,2026-03-21 21:45:59.949373,0
909362_Bilanci_i_tremujorit_te_trete_2010.pdf,be_financial_data\original\909362_Bilanci_i_tremujorit_te_trete_2010.pdf,be_bs_21.03.2026.pdf,be_is_21.03.2026.pdf,21.03.2026,2015-11-04 09:19:50,2026-03-21 21:46:00.173967,0
249830_Bilanci_i_tremujorit_te_dyte_2010.pdf,be_financial_data\original\249830_Bilanci_i_tremujorit_te_dyte_2010.pdf,be_bs_21.03.2026.pdf,be_is_21.03.2026.pdf,21.03.2026,2015-11-04 09:19:51,2026-03-21 21:46:00.451537,0
854217_Bilanci_i_tremujorit_te_katert_te_2009.pdf,be_financial_data\original\854217_Bilanci_i_tremujorit_te_katert_te_2009.pdf,be_bs_21.03.2026.pdf,be_is_21.03.2026.pdf,21.03.2026,2010-02-09 13:36:30,2026-03-21 21:46:00.695810,0
165565_Bilanci_i_tremujorit_te_trete_te_2009.pdf,be_financial_data\original\165565_Bilanci_i_tremujorit_te_trete_te_2009.pdf,be_bs_21.03.2026.pdf,be_is_21.03.2026.pdf,21.03.2026,2015-11-04 09:19:50,2026-03-21 21:46:00.988440,0
